Time,File,Total,bearded seal,Unknown,fin whale,killer whale,Walrus,Boating,minke,
04-Aug-07 05:32:05,shell-00EA0641.a26..1186205525.2007-08-04-05-32-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 06:05:57,shell-00EA0642.a26..1186207557.2007-08-04-06-05-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 06:39:48,shell-00EA0643.a26..1186209588.2007-08-04-06-39-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 07:13:40,shell-00EA0644.a26..1186211620.2007-08-04-07-13-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 07:47:32,shell-00EA0645.a26..1186213652.2007-08-04-07-47-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 08:21:23,shell-00EA0646.a26..1186215683.2007-08-04-08-21-23.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 08:55:15,shell-00EA0647.a26..1186217715.2007-08-04-08-55-15.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 09:29:07,shell-00EA0648.a26..1186219747.2007-08-04-09-29-07.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 10:02:59,shell-00EA0649.a26..1186221779.2007-08-04-10-02-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 10:36:52,shell-00EA0650.a26..1186223812.2007-08-04-10-36-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 11:10:46,shell-00EA0651.a26..1186225846.2007-08-04-11-10-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 11:44:40,shell-00EA0652.a26..1186227880.2007-08-04-11-44-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 12:18:33,shell-00EA0653.a26..1186229913.2007-08-04-12-18-33.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 12:52:27,shell-00EA0654.a26..1186231947.2007-08-04-12-52-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 13:26:21,shell-00EA0655.a26..1186233981.2007-08-04-13-26-21.wav_chan0.xml,1,0,0,1,0,0,0,0,
04-Aug-07 14:00:13,shell-00EA0656.a26..1186236013.2007-08-04-14-00-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 14:34:04,shell-00EA0657.a26..1186238044.2007-08-04-14-34-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 15:07:56,shell-00EA0658.a26..1186240076.2007-08-04-15-07-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 15:41:48,shell-00EA0659.a26..1186242108.2007-08-04-15-41-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 16:15:39,shell-00EA0660.a26..1186244139.2007-08-04-16-15-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 16:49:31,shell-00EA0661.a26..1186246171.2007-08-04-16-49-31.wav_chan0.xml,1,0,0,1,0,0,0,0,
04-Aug-07 17:23:22,shell-00EA0662.a26..1186248202.2007-08-04-17-23-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 17:57:14,shell-00EA0663.a26..1186250234.2007-08-04-17-57-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 18:31:06,shell-00EA0664.a26..1186252266.2007-08-04-18-31-06.wav_chan0.xml,1,0,0,1,0,0,0,0,
04-Aug-07 19:04:58,shell-00EA0665.a26..1186254298.2007-08-04-19-04-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 19:38:50,shell-00EA0666.a26..1186256330.2007-08-04-19-38-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 20:12:44,shell-00EA0667.a26..1186258364.2007-08-04-20-12-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 20:46:37,shell-00EA0668.a26..1186260397.2007-08-04-20-46-37.wav_chan0.xml,1,0,0,1,0,0,0,
04-Aug-07 21:20:30,shell-00EA0669.a26..1186262430.2007-08-04-21-20-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 21:54:24,shell-00EA0670.a26..1186264464.2007-08-04-21-54-24.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 22:28:18,shell-00EA0671.a26..1186266498.2007-08-04-22-28-18.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 23:02:12,shell-00EA0672.a26..1186268532.2007-08-04-23-02-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 23:36:04,shell-00EA0673.a26..1186270564.2007-08-04-23-36-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 00:09:56,shell-00EA0674.a26..1186272596.2007-08-05-00-09-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 00:43:47,shell-00EA0675.a26..1186274627.2007-08-05-00-43-47.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 01:17:39,shell-00EA0676.a26..1186276659.2007-08-05-01-17-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 01:51:30,shell-00EA0677.a26..1186278690.2007-08-05-01-51-30.wav_chan0.xml,0,0,0,0,0,0,0,
05-Aug-07 02:25:22,shell-00EA0678.a26..1186280722.2007-08-05-02-25-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Aug-07 02:59:14,shell-00EA0679.a26..1186282754.2007-08-05-02-59-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
